Date;Time;CO(GT);PT08.S1(CO);NMHC(GT);C6H6(GT);PT08.S2(NMHC);NOx(GT);PT08.S3(NOx);NO2(GT);PT08.S4(NO2);PT08.S5(O3);T;RH;AH
10/03/2004;00.00.00;2.8;856;229;11.4;383;117;1838;36;551;228;17.4;51.5;0.92
10/03/2004;01.00.00;2.0;647;102;4.8;383;183;1847;130;1050;228;24.1;70.2;1.247
10/03/2004;02.00.00;3.1;880;193;8.7;383;67;2123;200;1524;228;2.2;67.3;0.973
10/03/2004;03.00.00;4.3;1312;103;15.0;397;451;1568;142;1093;518;27.4;55.9;0.884
10/03/2004;04.00.00;1.8;647;369;4.4;383;188;1687;230;2013;228;3.6;38.7;1.13
10/03/2004;05.00.00;1.8;647;155;2.4;383;316;1856;68;741;405;8.2;58.1;1.085
10/03/2004;06.00.00;4.4;1232;264;10.8;383;277;1665;125;854;322;27.1;51.6;0.576
10/03/2004;07.00.00;3.2;991;173;10.2;386;353;1651;136;1095;368;17.4;28.5;1.375
10/03/2004;08.00.00;1.5;647;159;5.8;383;501;1656;87;851;654;14.4;45.5;0.427
10/03/2004;09.00.00;2.9;788;36;8.9;383;349;1775;53;551;578;25.5;58.4;0.476
10/03/2004;10.00.00;1.5;647;274;5.7;383;512;1399;217;1791;652;17.0;74.7;0.59
10/03/2004;11.00.00;1.5;647;341;1.6;383;353;1689;166;1321;487;10.1;36.0;0.991
10/03/2004;12.00.00;2.5;726;130;4.9;383;266;1855;139;1159;331;28.0;63.6;1.627
10/03/2004;13.00.00;0.1;647;71;4.8;383;295;1926;115;1038;468;20.1;38.9;1.515
10/03/2004;14.00.00;0.1;647;294;2.8;383;2;1899;119;999;228;7.8;48.0;0.634
10/03/2004;15.00.00;1.4;647;61;5.9;383;176;1944;143;1047;228;11.8;42.2;0.957
10/03/2004;16.00.00;0.7;647;333;1.0;383;224;1767;182;1407;316;10.0;81.9;0.505
10/03/2004;17.00.00;2.6;660;132;7.8;383;313;1832;79;694;410;8.5;60.0;0.722
10/03/2004;18.00.00;0.9;647;113;2.8;383;242;1723;118;939;258;16.9;62.7;1.772
10/03/2004;19.00.00;0.2;647;241;3.2;383;297;1743;95;718;455;17.4;37.1;0.919
10/03/2004;20.00.00;4.2;1274;119;14.3;383;43;1996;62;551;228;21.4;58.0;1.472
10/03/2004;21.00.00;1.8;647;150;6.9;383;4;2073;83;588;228;22.5;28.7;1.325
10/03/2004;22.00.00;2.2;647;251;6.8;383;64;1993;123;929;228;24.8;9.2;0.728
10/03/2004;23.00.00;0.2;647;7;2.1;383;486;1576;98;825;455;26.2;41.4;0.657
11/03/2004;00.00.00;1.4;647;374;5.0;383;52;1918;114;873;228;21.9;72.1;0.983
11/03/2004;01.00.00;2.3;647;222;7.5;383;125;2042;147;1196;228;20.9;42.0;0.945
11/03/2004;02.00.00;0.5;647;95;0.2;383;262;1812;168;1360;267;25.7;60.3;1.356
11/03/2004;03.00.00;2.7;691;121;8.3;383;2;1959;240;1984;228;21.3;88.7;0.889
11/03/2004;04.00.00;1.3;647;312;2.0;383;112;1953;150;1134;295;10.4;47.5;1.353
11/03/2004;05.00.00;1.7;647;275;5.5;383;349;1770;83;796;228;6.9;79.1;0.733
11/03/2004;06.00.00;1.3;647;349;4.4;383;178;1748;165;1186;228;9.8;13.2;1.011
11/03/2004;07.00.00;4.7;1410;153;10.4;383;503;1636;97;755;646;20.5;39.0;0.603
11/03/2004;08.00.00;2.1;661;246;6.4;383;2;1877;79;601;228;15.6;57.4;0.319
11/03/2004;09.00.00;0.7;647;258;0.1;383;193;1793;142;1079;228;19.8;46.7;0.634
11/03/2004;10.00.00;3.3;1045;284;11.6;383;179;1777;180;1270;228;15.9;58.5;1.202
11/03/2004;11.00.00;0.4;647;325;2.7;383;244;1793;83;768;343;10.6;32.2;1.546
11/03/2004;12.00.00;2.4;681;149;7.0;383;58;1918;128;1091;228;-1.9;84.0;0.943
11/03/2004;13.00.00;0.1;647;207;1.4;383;157;1858;134;1119;252;8.2;75.2;1.184
11/03/2004;14.00.00;0.3;647;160;2.1;383;366;1555;67;551;436;32.0;60.6;0.869
11/03/2004;15.00.00;2.4;730;213;7.3;383;204;1830;44;551;228;25.7;31.9;0.812
11/03/2004;16.00.00;3.2;853;284;13.3;383;82;1846;45;551;228;12.0;49.3;1.444
11/03/2004;17.00.00;2.4;647;60;6.2;383;564;1731;174;1375;671;13.7;67.0;1.52
11/03/2004;18.00.00;2.0;647;323;9.3;383;253;1765;90;789;252;14.0;39.2;1.565
11/03/2004;19.00.00;1.7;647;109;5.1;383;339;1707;82;622;487;26.7;74.9;1.336
11/03/2004;20.00.00;0.1;647;188;0.1;383;362;1765;128;957;511;25.3;56.0;0.873
11/03/2004;21.00.00;1.1;647;336;3.0;383;235;1917;175;1415;262;25.7;46.4;0.764
11/03/2004;22.00.00;1.5;647;249;2.6;383;125;1805;57;551;228;9.9;65.5;0.335
11/03/2004;23.00.00;3.6;1066;250;13.2;453;276;1824;22;551;302;32.3;35.3;1.774
12/03/2004;00.00.00;2.6;881;105;5.2;383;138;1966;183;1581;228;15.7;43.8;0.405
12/03/2004;01.00.00;0.1;647;118;3.1;383;302;1772;137;1068;277;24.7;39.6;1.015
12/03/2004;02.00.00;2.6;694;307;6.5;383;220;1836;61;566;270;20.3;21.6;0.36
12/03/2004;03.00.00;1.6;647;162;6.8;383;403;1636;91;747;460;4.3;13.6;1.428
12/03/2004;04.00.00;1.2;647;170;3.9;383;71;1917;64;601;228;13.9;33.8;1.153
12/03/2004;05.00.00;3.0;838;309;10.2;383;355;1706;143;1248;398;17.7;36.6;1.528
12/03/2004;06.00.00;3.6;933;118;10.3;383;339;1693;162;1236;600;11.4;60.2;1.085
12/03/2004;07.00.00;3.5;1011;243;11.8;383;209;1903;145;1319;395;6.2;42.8;1.28
12/03/2004;08.00.00;1.0;647;222;3.4;383;357;1644;120;982;371;14.3;59.8;1.141
12/03/2004;09.00.00;1.7;647;217;2.6;383;310;1820;131;957;366;28.5;21.4;1.508
12/03/2004;10.00.00;2.6;660;168;6.4;383;348;1827;77;551;293;22.4;54.7;1.141
12/03/2004;11.00.00;3.5;1123;162;10.2;383;338;1758;91;851;372;13.6;24.2;1.396
12/03/2004;12.00.00;1.5;647;115;3.2;383;253;1653;113;1011;334;19.8;40.7;1.808
12/03/2004;13.00.00;1.9;647;263;8.6;383;154;1925;99;885;228;7.1;65.3;0.678
12/03/2004;14.00.00;0.6;647;154;1.9;383;153;1826;113;860;228;17.8;43.3;0.707
12/03/2004;15.00.00;0.5;647;310;0.1;383;213;1787;35;551;249;2.4;31.0;1.498
12/03/2004;16.00.00;3.3;942;196;9.5;387;375;1728;155;1116;490;8.5;70.2;1.099
12/03/2004;17.00.00;4.0;1157;117;11.9;383;342;1814;61;551;401;24.3;64.2;1.109
12/03/2004;18.00.00;2.0;647;195;6.0;383;399;1547;11;551;587;13.1;73.7;1.264
12/03/2004;19.00.00;3.6;1064;178;9.2;383;415;1672;78;749;491;14.3;27.8;1.096
12/03/2004;20.00.00;2.7;745;313;6.9;383;212;1989;102;799;228;17.1;18.6;0.365
12/03/2004;21.00.00;1.2;647;182;5.5;383;546;1475;209;1652;527;30.2;74.7;1.103
12/03/2004;22.00.00;2.7;694;191;8.9;383;230;1799;89;739;246;-1.9;27.0;0.563
12/03/2004;23.00.00;4.3;1046;352;13.5;383;170;1814;123;1052;228;10.4;48.9;1.217
